0,1,2,3,4
Lammassaari,4c657e2ce75ac9285adbf4da,65.01808058272425,25.471027543321185,Park
Pohjois-Pohjanmaan museo,4e3bfb7e45dd68e32724a6cc,65.0177569077511,25.475320816040036,History Museum
Tiedekeskus Tietomaa,4bc4688a2a89ef3bf334f688,65.01837239965987,25.485028818381277,Science Museum
Tietomaan Elokuvateatteri,511a2d4ce4b05b4103ca397a,65.017966,25.484792,Movie Theater
Oulun Työväen Näyttämö,4d4e8cb520d3236a8eb09c28,65.01750725873669,25.499932746513363,Theater
Värtön liikuntahalli,4c9b7e1378ffa0936d8a7575,65.01826699841999,25.51369960505066,Recreation Center
Koivurannan Kahvila,4bbcc291593fef3be9930256,65.01813096536446,25.525042515394997,Café
Värtön venesatama,4f3f7491e4b0545d167f1b77,65.0177838569454,25.526434662438977,Harbor / Marina
Värtön uimaranta,4c5c16477735c9b60d398b72,65.0175466807467,25.52689289472715,Beach
Merimiehenkotimuseo,4fdc9109e4b09d4fcc240da6,65.0172,25.4578,Museum
Sokeri-Jussin Kievari,4c0cf86ad64c0f47cbf0255d,65.0168404443362,25.459354019968984,Scandinavian Restaurant
Linnansaaren ystävyydenpuisto,53b255ec498e092974842a45,65.01716613769531,25.465850830078125,Park
Leeveri,4f9ec21be4b0e5be4167643d,65.01670417350157,25.466231980401787,Park
Tähtitornin Kahvila,4c3589e016adc928cef5c69c,65.0173227704805,25.468150480860157,Café
Oulun linnan kellari,522c944893cdfcd46776d789,65.0173219101288,25.468132495880127,History Museum
Ravintola Rauhala,4ba53810f964a5207ded38e3,65.01688628505501,25.47919656300553,Café
Tuba Food & Lounge,51532891e4b097b7558a8010,65.01685066446343,25.479305271675003,Lounge
Åströmin puisto,4ed64c3a7ee509957d9fa417,65.01648978243396,25.481418587962633,Park
Oulun Verona,4db7e7f21e7206c23cfc1c61,65.01710064299002,25.486685931748426,Pizza Place
K-market Myllytulli,5af72ba6c62b49002cc5c241,65.016689,25.487668,Grocery Store
Sale,4dc2d0edd4c07da16a01123f,65.01697485073079,25.501470053636268,Grocery Store
Sohvin Ferrari,4f8daa51e4b08f9379daeeff,65.016951,25.530507,Moving Target
Rantakurvin lintutorni,5220c48f11d2a345b753b378,65.01618114051023,25.4144936800003,Scenic Lookout
Hietasaaren jousiammuntakenttä,4e47dd9ab3ad54f9dd4e5145,65.01565435357932,25.426558256149292,Sports Club
Hietasaaren veneilykeskus,4fce1c96e4b0ac5f60604d7f,65.01571474780586,25.43686536092657,Harbor / Marina
Radisson Blu Hotel,4bab4ef4f964a5206f9f3ae3,65.01541418060417,25.467236638069153,Hotel
Ravintola Sassi,4d624f3a1939a35d10b136ee,65.01530882400233,25.46678391030754,Scandinavian Restaurant
Pokkitörmä P,4df05d7bc65b0270f3a35d02,65.01625575648889,25.47175995801314,Bus Stop
Lobby bar Holiday Inn,514cb4c6e4b0ffdbfdb4fdd6,65.01537322998047,25.476478576660156,Hotel Bar
