0,1,2,3
Iltalinjalla,61.500419588774164,23.751203568898436,Event Space
Rosin's mansion,61.50055113368995,23.75108220350921,Residential Building (Apartment / Condo)
töissä,61.500344,23.751466,General Travel
Anun Solukämppä,61.500201,23.751264,Resort
Siam House Satakunnankatu,61.500293967035084,23.75260065193735,Asian Restaurant
Hämeenkulma,61.50046,23.751792,Spiritual Center
Kallen Dubstep Kolo,61.500383,23.750461,Music Venue
Dontola,61.5002303025325,23.750816282126795,Residential Building (Apartment / Condo)
Koiraluola,61.50068830012731,23.75089955710682,Residential Building (Apartment / Condo)
Anniinan Kämppä,61.500356,23.750531,Residential Building (Apartment / Condo)
Kallen Reggae-kolo,61.50031507762551,23.750586884194792,Music Venue
Ella's Cool Ride,61.50028,23.750775,Moving Target
Päiväkeskus Aktiivi,61.50046088911257,23.751536721132123,Building
Timon kauhukyyti,61.50014114379883,23.75168228149414,Moving Target
Katmandu,61.50020434331483,23.752541833657986,North Indian Restaurant
Näsilinnankadun Parkkibunkkeri,61.50049090661782,23.753840758940566,Parking
Satakunnankatu,61.500484703885945,23.76033476056077,Road
13. bleizzi,61.500149,23.753169,Church
LG Salonki,61.500309,23.753741,Music Venue
Metsä Group / Metsäliitto Osuuskunta Tampereen piiritoimisto,61.5006546,23.7536263,
Tampereen Konttorikone,61.50060029335729,23.753907566634926,Paper / Office Supplies Store
Kotilo-sauna,61.50019405593453,23.75409614206866,Sauna / Steam Room
Ekmotek Oy,61.500294,23.752963,Office
Finnpark Näsinkulma,61.50014319999999,23.7540952,Parking
Nepalska,61.50028,23.753913,
Tampereen rikosseuraamusvirasto,61.500524480740985,23.753847401287956,Courthouse
Marian Työpaikka,61.500244,23.752863,Building
Mummola,61.500221,23.753938,Residential Building (Apartment / Condo)
Antiikkiliike Arvotaide,61.50040330235287,23.753235340118408,Antique Shop
TKK,61.50014350334057,23.75375932211827,Paper / Office Supplies Store
Johtaja Wuorinen,61.500292,23.753987,Conference Room
MCS Tampere,61.500391940471516,23.75282208098788,Boutique
laten rallivolvo,61.50018411369928,23.753432624500075,Moving Target
Tampereen hyvät lehdet,61.50029754638672,23.75283050537109,Building
Omaeläinklinikka Tampere,61.500297685681524,23.754786923445014,Veterinarian
Bar Alanya,61.500361111340524,23.754925803476972,Bar
HohDesign,61.50042554912295,23.75554714015992,Salon / Barbershop
Bussipysäkki 0072,61.500345,23.755089,Bus Stop
TamKopio,61.500353750080784,23.754618835950613,Building
DVD-asema,61.500468,23.755038,Video Store
hohDesing,61.500237,23.755379,Salon / Barbershop
Innolink,61.500613527324894,23.75564027862363,Coworking Space
Desktop,61.500332406823105,23.754894973913448,Electronics Store
Lotta's place,61.5005469363637,23.75470591441495,Residential Building (Apartment / Condo)
M/S Cumbaya,61.50061912066817,23.755545874294395,Social Club
Koirase toyota,61.50035858154297,23.7551212310791,Residential Building (Apartment / Condo)
JYA Housing,61.500385153009994,23.754610527827964,Office
Lotan kattoterassi,61.500497,23.754869,Residential Building (Apartment / Condo)
Satakunnankadun Sauna,61.50055688072612,23.755767345428467,Sauna / Steam Room
Power Pizza,61.50044,23.755396,Pizza Place
Sisustus Liisa,61.500265,23.755812,Design Studio
4finance Oy,61.5004981375447,23.756002637711017,Office
Pancho Villa,61.50057502583834,23.75681160789562,Mexican Restaurant
Fitness24Seven,61.499732,23.755808,Gym / Fitness Center
Day Spa Studio Feel It,61.50065248515742,23.757394341517205,Salon / Barbershop
Tammerkosken kaupunginosa,61.50017577672282,23.75638884926379,Neighborhood
Suha Salonki,61.50032,23.75675,Health & Beauty Service
bussipysäkki 87,61.500652,23.757417,Bus Stop
Seinäruusu,61.50045307217193,23.756446716764557,Design Studio
Barona Tampere,61.500431458628114,23.757470823744168,Office
Lemminkäinen Talotekniikka Tre,61.500595484070416,23.757868147834877,Building
Istanbul Oriental,61.50045482214221,23.757672324126556,Grocery Store
Thjugella,61.50066058562182,23.756798132609536,Residential Building (Apartment / Condo)
Bussipysäkki 0087,61.500641194265896,23.757461731540214,Bus Stop
Innolink Agency,61.500607949180136,23.75625953132196,Advertising Agency
Zense,61.495567,23.75523,Health & Beauty Service
Tampereen Kaupungin Nurmikko,61.500125013004016,23.75766281482345,Field
Synsam,61.500178768807565,23.756221646678235,Optical Shop
SantArt,61.500422857149886,23.75606712542403,
Top Tukka,61.50047130396285,23.756138914009842,Salon / Barbershop
Café Parvi,61.50025,23.757181,Cafeteria
Gelateria Italiana,61.50036969444394,23.75955141967035,Ice Cream Shop
Panimoravintola Plevna,61.500720812498386,23.758494887077614,Brewery
Hammaslääkärikeskus Uusisuu,61.50055509999999,23.7590092,Dentist's Office
Kauneusstudio For You,61.500558,23.758921,Health & Beauty Service
Tampereen kaupunginvaltuuston istuntosali,61.50017269780002,23.758802485016133,City Hall
Bling Kynsi- Ja Ripsistudio,61.50051716564812,23.759157458545857,Nail Salon
Purpur,61.50035,23.759614,Caucasian Restaurant
Alanya Oriental Market,61.499201205434964,23.75383615493774,Grocery Store
